date,Q.1C0.1C0.C.9A.MOA.RXGT.1.ALL.MV.TO1.ALL,Q.5B0.5B0.C.5A.BKC.ASTT.1.STR.MX.TO1.ALL,Q.5B0.5B0.C.5A.BKL.ASTT.1.ALL.MX.TO1.ALL,Q.5B0.5B0.C.5A.BKL.LDPT.1.ALL.NV.TO1.ALL,Q.5B0.5B0.D.5A.ALL.DFXB.1.ALL.NV.TO1.BMA,us_3y_yield,ukraine_3y_yield,ukraine_3y_change_pct,cpi_x,cpi_y,exchange_rate,interest_rate,gdp_yoy_pct,reserves_pct_gdp
2020-12-31,27549017200.0461,2613834000.0,9001237000.0,5168196000.0,12931895000.0,0.1881818181818181,12.612608695652172,21.096086956521734,,,,,,
2021-01-01,,,,,,,,,1.28695652173913,18.33576110706482,87.3627021393002,3036.89,28.947415064515923,-0.0398620604479527
2021-01-31,25608104643.3385,2784207000.0,8818795000.0,4741029000.0,13367278000.0,0.1984210526315789,12.5915,60.886,,,,,,
2021-02-01,,,,,,,,,0.9958791208791208,18.58045336306206,89.1492650090022,3038.8,,
2021-02-28,25608104643.3385,2784207000.0,8818795000.0,4741029000.0,13367278000.0,0.2142105263157895,12.9115,-0.0729999999999999,,,,,,
2021-03-01,,,,,,,,,1.700102006120367,22.00344102466068,91.4091853969121,2577.03,,
2021-03-31,25608104643.3385,2784207000.0,8818795000.0,4741029000.0,13367278000.0,0.3165217391304348,12.75695652173913,22.9,,,,,,
2021-04-01,,,,,,,,,0.7021063189568706,26.54028436018957,91.2796432726546,3898.92,,
2021-04-30,26854516121.7253,3022089000.0,9019049000.0,4805352000.0,14570493000.0,0.3459090909090909,13.34318181818182,0.0318181818181818,,,,,,
2021-05-01,,,,,,,,,1.294820717131474,35.27021535960991,91.6090480651115,3110.49,,
2021-05-31,26854516121.7253,3022089000.0,9019049000.0,4805352000.0,14570493000.0,0.324,13.171666666666669,46.69857142857144,,,,,,
2021-06-01,,,,,,,,,0.1966568338249754,36.37290901672787,92.9310392733405,3688.93,,
2021-06-30,26854516121.7253,3022089000.0,9019049000.0,4805352000.0,14570493000.0,0.3895454545454546,12.908863636363636,47.87590909090909,,,,,,
2021-07-01,,,,,,,,,0.0981354268891069,35.55734730901028,94.8307271826484,3620.82,,
2021-07-31,27228063310.9605,2842583000.0,8945059000.0,4743544000.0,15046470000.0,0.4033333333333334,13.037727272727272,-0.0454545454545454,,,,,,
2021-08-01,,,,,,,,,-0.196078431372549,29.0045766590389,96.6726321816249,3901.16,,
2021-08-31,27228063310.9605,2842583000.0,8945059000.0,4743544000.0,15046470000.0,0.4190909090909091,13.29608695652174,45.29260869565218,,,,,,
2021-09-01,,,,,,,,,1.211525867714473,25.14264678814651,97.1825981098615,2855.47,,
2021-09-30,27228063310.9605,2842583000.0,8945059000.0,4743544000.0,15046470000.0,0.4719047619047619,13.363636363636363,-0.0136363636363636,,,,,,
2021-10-01,,,,,,,,,0.9058557101261728,18.79407616361072,99.12191488488,4161.7,,
2021-10-31,29383187653.8888,3070103000.0,9003785000.0,5215585000.0,13559285000.0,0.67,13.528,32.1895,,,,,,
2021-11-01,,,,,,,,,0.8015389547932029,10.00816326530612,100.361197126242,5047.71,,
2021-11-30,29383187653.8888,3070103000.0,9003785000.0,5215585000.0,13559285000.0,0.8195,13.59909090909091,54.685909090909085,,,,,,
2021-12-01,,,,,,,,,0.5725190839694656,9.76842791911285,99.2527352007114,5749.54,,
2021-12-31,29383187653.8888,3070103000.0,9003785000.0,5215585000.0,13559285000.0,0.9527272727272728,13.82108695652174,26.35652173913044,,,,,,
2022-01-01,,,,,,,,,1.328273244781784,4.292968148945992,96.6715507615139,4815.7,-3.702637645664242,0.104839735388854
2022-01-31,26442216010.1192,2462281000.0,5671992000.0,4406756000.0,14314007000.0,1.249,14.952380952380953,84.50142857142858,,,,,,
2022-02-01,,,,,,,,,1.591760299625468,6.424318395487308,96.1375704722866,4758.95,,
2022-02-28,26442216010.1192,2462281000.0,5671992000.0,4406756000.0,14314007000.0,1.651052631578947,18.916,-1.0074999999999998,,,,,,
2022-03-01,,,,,,,,,4.485407066052227,6.957066750235036,100.679231533962,5791.43,,
2022-03-31,26442216010.1192,2462281000.0,5671992000.0,4406756000.0,14314007000.0,2.085652173913044,65.12521739130435,-1.995217391304348,,,,,,
2022-04-01,,,,,,,,,3.116730373419582,7.147315855181024,100.037809719608,4561.64,,
2022-04-30,22270948433.5897,2095093000.0,5433944000.0,4494717000.0,13644734000.0,2.724,51.50095238095238,0.995238095238095,,,,,,
2022-05-01,,,,,,,,,2.680353578557171,3.544607990387504,101.318485676643,4774.32,,
2022-05-31,22270948433.5897,2095093000.0,5433944000.0,4494717000.0,13644734000.0,2.79,60.2475,0.0445454545454545,,,,,,
2022-06-01,,,,,,,,,3.110247153568453,3.739715781600598,102.636141893494,5579.44,,
2022-06-30,22270948433.5897,2095093000.0,5433944000.0,4494717000.0,13644734000.0,3.145714285714286,63.85318181818182,-0.1436363636363636,,,,,,
2022-07-01,,,,,,,,,0.7002423915970913,3.643122676579926,97.6454513820462,6775.7,,
2022-07-31,22501736128.5665,1991636000.0,4991090000.0,4211177000.0,14025794000.0,3.0315000000000003,63.68285714285714,-0.8552380952380952,,,,,,
2022-08-01,,,,,,,,,1.096549879646964,3.858093126385809,86.9633948907894,8768.14,,
2022-08-31,22501736128.5665,1991636000.0,4991090000.0,4211177000.0,14025794000.0,3.2256521739130437,43.17117647058824,4.5717647058823525,,,,,,
2022-09-01,,,,,,,,,1.904761904761905,4.265333137226063,89.1549443602693,5969.4,,
2022-09-30,22501736128.5665,1991636000.0,4991090000.0,4211177000.0,14025794000.0,3.878571428571429,24.571428571428573,0.4614285714285717,,,,,,
2022-10-01,,,,,,,,,2.492211838006231,5.520926090828139,91.6370419263612,7736.3,,
2022-10-31,26929187392.0519,1911834000.0,5162180000.0,4348059000.0,13332315000.0,4.3785,26.0,9.7,,,,,,
2022-11-01,,,,,,,,,0.7092198581560284,5.728702879192639,89.9171230701852,7744.28,,
2022-11-30,26929187392.0519,1911834000.0,5162180000.0,4348059000.0,13332315000.0,4.336,31.5,-11.5375,,,,,,
2022-12-01,,,,,,,,,0.7042253521126761,5.957510028227604,89.2107274128285,6233.49,,
2022-12-31,26929187392.0519,1911834000.0,5162180000.0,4348059000.0,13332315000.0,4.046666666666667,37.0,12.080000000000002,,,,,,
2023-01-01,,,,,,,,,0.7992007992007992,5.326054883446444,88.8660986715805,9848.56,11.928955260638908,-0.1018319084479751
